name,unicode,sideBar,sortName,category,subCategory,anchors,accents,production,decompose,script,altNames,description
lekattakpramMuoy-khmer,17F6,Numerals/Divination,kh290,Number,,,,uni17F6,,khmer,,KHMER SYMBOL LEK ATTAK PRAM-MUOY
lekattakpramPii-khmer,17F7,Numerals/Divination,kh292,Number,,,,uni17F7,,khmer,,KHMER SYMBOL LEK ATTAK PRAM-PII
lekattakpramBei-khmer,17F8,Numerals/Divination,kh294,Number,,,,uni17F8,,khmer,,KHMER SYMBOL LEK ATTAK PRAM-BEI
lekattakpramBuon-khmer,17F9,Numerals/Divination,kh296,Number,,,,uni17F9,,khmer,,KHMER SYMBOL LEK ATTAK PRAM-BUON
pathamasat-khmer,19E0,Numerals/Lunar,kh298,Symbol,,,,uni19E0,,khmer,,KHMER SYMBOL PATHAMASAT
muoykoet-khmer,19E1,Numerals/Lunar,kh300,Symbol,,,,uni19E1,,khmer,,KHMER SYMBOL MUOY KOET
piikoet-khmer,19E2,Numerals/Lunar,kh302,Symbol,,,,uni19E2,,khmer,,KHMER SYMBOL PII KOET
beikoet-khmer,19E3,Numerals/Lunar,kh304,Symbol,,,,uni19E3,,khmer,,KHMER SYMBOL BEI KOET
buonkoet-khmer,19E4,Numerals/Lunar,kh306,Symbol,,,,uni19E4,,khmer,,KHMER SYMBOL BUON KOET
pramkoet-khmer,19E5,Numerals/Lunar,kh308,Symbol,,,,uni19E5,,khmer,,KHMER SYMBOL PRAM KOET
pramMuoykoet-khmer,19E6,Numerals/Lunar,kh310,Symbol,,,,uni19E6,,khmer,,KHMER SYMBOL PRAM-MUOY KOET
pramPiikoet-khmer,19E7,Numerals/Lunar,kh312,Symbol,,,,uni19E7,,khmer,,KHMER SYMBOL PRAM-PII KOET
pramBeikoet-khmer,19E8,Numerals/Lunar,kh314,Symbol,,,,uni19E8,,khmer,,KHMER SYMBOL PRAM-BEI KOET
pramBuonkoet-khmer,19E9,Numerals/Lunar,kh316,Symbol,,,,uni19E9,,khmer,,KHMER SYMBOL PRAM-BUON KOET
dapkoet-khmer,19EA,Numerals/Lunar,kh318,Symbol,,,,uni19EA,,khmer,,KHMER SYMBOL DAP KOET
dapMuoykoet-khmer,19EB,Numerals/Lunar,kh320,Symbol,,,,uni19EB,,khmer,,KHMER SYMBOL DAP-MUOY KOET
dapPiikoet-khmer,19EC,Numerals/Lunar,kh322,Symbol,,,,uni19EC,,khmer,,KHMER SYMBOL DAP-PII KOET
dapBeikoet-khmer,19ED,Numerals/Lunar,kh324,Symbol,,,,uni19ED,,khmer,,KHMER SYMBOL DAP-BEI KOET
dapBuonkoet-khmer,19EE,Numerals/Lunar,kh326,Symbol,,,,uni19EE,,khmer,,KHMER SYMBOL DAP-BUON KOET
dapPramkoet-khmer,19EF,Numerals/Lunar,kh328,Symbol,,,,uni19EF,,khmer,,KHMER SYMBOL DAP-PRAM KOET
tuteyasat-khmer,19F0,Numerals/Lunar,kh330,Symbol,,,,uni19F0,,khmer,,KHMER SYMBOL TUTEYASAT
muoyroc-khmer,19F1,Numerals/Lunar,kh332,Symbol,,,,uni19F1,,khmer,,KHMER SYMBOL MUOY ROC
piiroc-khmer,19F2,Numerals/Lunar,kh334,Symbol,,,,uni19F2,,khmer,,KHMER SYMBOL PII ROC
beiroc-khmer,19F3,Numerals/Lunar,kh336,Symbol,,,,uni19F3,,khmer,,KHMER SYMBOL BEI ROC
buonroc-khmer,19F4,Numerals/Lunar,kh338,Symbol,,,,uni19F4,,khmer,,KHMER SYMBOL BUON ROC
pramroc-khmer,19F5,Numerals/Lunar,kh340,Symbol,,,,uni19F5,,khmer,,KHMER SYMBOL PRAM ROC
pramMuoyroc-khmer,19F6,Numerals/Lunar,kh342,Symbol,,,,uni19F6,,khmer,,KHMER SYMBOL PRAM-MUOY ROC
pramPiiroc-khmer,19F7,Numerals/Lunar,kh344,Symbol,,,,uni19F7,,khmer,,KHMER SYMBOL PRAM-PII ROC
pramBeiroc-khmer,19F8,Numerals/Lunar,kh346,Symbol,,,,uni19F8,,khmer,,KHMER SYMBOL PRAM-BEI ROC
pramBuonroc-khmer,19F9,Numerals/Lunar,kh348,Symbol,,,,uni19F9,,khmer,,KHMER SYMBOL PRAM-BUON ROC
daproc-khmer,19FA,Numerals/Lunar,kh350,Symbol,,,,uni19FA,,khmer,,KHMER SYMBOL DAP ROC
dapMuoyroc-khmer,19FB,Numerals/Lunar,kh352,Symbol,,,,uni19FB,,khmer,,KHMER SYMBOL DAP-MUOY ROC
dapPiiroc-khmer,19FC,Numerals/Lunar,kh354,Symbol,,,,uni19FC,,khmer,,KHMER SYMBOL DAP-PII ROC
dapBeiroc-khmer,19FD,Numerals/Lunar,kh356,Symbol,,,,uni19FD,,khmer,,KHMER SYMBOL DAP-BEI ROC
dapBuonroc-khmer,19FE,Numerals/Lunar,kh358,Symbol,,,,uni19FE,,khmer,,KHMER SYMBOL DAP-BUON ROC
dapPramroc-khmer,19FF,Numerals/Lunar,kh360,Symbol,,,,uni19FF,,khmer,,KHMER SYMBOL DAP-PRAM ROC
ba_aasign-khmer,,Ligatures,,Letter,Ligature,"top1, top2, bottom1, bottom2",,uni179417B6,,khmer,,KHMER LIGATURE BA WITH VOWEL SIGN AA
ba_au-khmer,,Ligatures,,Letter,Ligature,"top1, bottom1, bottom2",,uni179417C5,,khmer,,KHMER LIGATURE BA WITH VOWEL SIGN AU
